,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
193,193,ENSMUSG00000105402,Gm3716,Down,-6.00819585590555,0.0295005334072556,-9.193561842025
194,194,ENSMUSG00000108812,ENSMUSG00000108812,Down,-7.55295687851695,0.0666748165045015,-8.88256559196958
195,195,ENSMUSG00000087142,ENSMUSG00000087142,Down,-7.44151167784423,0.0666193445962865,-8.75419169034857
196,196,ENSMUSG00000118070,ENSMUSG00000118070,Down,-6.65710659158963,0.0484385870013331,-8.75282055915832
197,197,ENSMUSG00000066538,Gm6254,Down,-5.80962832008335,0.0377309275940442,-8.26885861532587
198,198,ENSMUSG00000049985,Ankrd55,Down,-5.06979710718707,0.0269861145416244,-7.95380006761481
199,199,ENSMUSG00000026672,Optn,Down,-7.59068706196228,0.0901477075005061,-7.93261193745208
200,200,ENSMUSG00000096908,Trav7-3,Down,-6.97840325036999,0.0755909165454649,-7.82649131040801
201,201,ENSMUSG00000096678,Trav9-4,Down,-5.40150828758479,0.0385271859720274,-7.63898970754701
202,202,ENSMUSG00000076937,Iglc2,Down,-5.38161202299741,0.0396393739935491,-7.54433773643267
203,203,ENSMUSG00000103672,ENSMUSG00000103672,Down,-6.14173914881692,0.060162838703789,-7.49704704689535
204,204,ENSMUSG00000027713,1810062G17Rik,Down,-7.15874290330931,0.0972444921217739,-7.24561415911903
205,205,ENSMUSG00000019987,Arg1,Down,-6.79246993538303,0.098743910495347,-6.82975840594065
206,206,ENSMUSG00000003882,Il7r,Down,-1.47711854889775,3.94231814818644e-05,-6.50559690328033
207,207,ENSMUSG00000024985,Tcf7l2,Down,-5.7438191112776,0.0767586609442206,-6.4036266047795
208,208,ENSMUSG00000059842,Zfp341,Down,-6.26706959911436,0.0972444921217739,-6.34312041050337
209,209,ENSMUSG00000081208,ENSMUSG00000081208,Down,-5.76545572293351,0.0975438233556167,-5.82772394588938
210,210,ENSMUSG00000026919,Lcn4,Down,-2.48775939077026,0.00843093732409506,-5.1599218050375
211,211,ENSMUSG00000068252,Apol7b,Down,-3.54004306021595,0.0486223300899561,-4.64865792867629
212,212,ENSMUSG00000033721,Vav3,Down,-2.79835910725058,0.0284256809020311,-4.32707225126828
213,213,ENSMUSG00000040451,Sgms1,Down,-1.68543977542805,0.00315980151456883,-4.21417282025378
214,214,ENSMUSG00000094828,Trav3-3,Down,-3.45235448638663,0.0761858384141619,-3.86016644501143
215,215,ENSMUSG00000028549,Itgb3bp,Down,-2.20775016912914,0.0241345052579152,-3.57073034487461
216,216,ENSMUSG00000072763,5430403G16Rik,Down,-3.44891262993823,0.0925071057287135,-3.56557177755078
217,217,ENSMUSG00000029798,Herc6,Down,-1.79913686306842,0.0117304798866668,-3.47356515259081
218,218,ENSMUSG00000063450,Syne2,Down,-1.91632589932486,0.0317902980733678,-2.87009164761351
219,219,ENSMUSG00000028476,Reck,Down,-2.46352141883198,0.0755253456974525,-2.76384260974262
220,220,ENSMUSG00000024800,Rpp30,Down,-1.77155548470565,0.0332127967218305,-2.61958944485292
221,221,ENSMUSG00000056498,Tmem154,Down,-1.65207132743385,0.0674094989178196,-1.93503628899577
222,222,ENSMUSG00000009905,Kdsr,Down,-1.45637858368976,0.0638913209136754,-1.73972888187994
223,223,ENSMUSG00000043008,Klhl6,Down,-1.22606046842879,0.0591987970627645,-1.50521864320098
224,224,ENSMUSG00000038393,Txnip,Down,-0.953882763192499,0.0312156151340423,-1.43619269470853
225,225,ENSMUSG00000030689,Ino80e,Down,-1.15975469975449,0.0924676015890751,-1.19919842898682
