Cluster 1,,,,,,,,Cluster 2,,,,,,,,Cluster 3,,,,,,,,Cluster 4,,,,,,
Na夫e,NPPB,NPP5,SUB,SPPB,SPP5,SPP7,,Na夫e,NPPB,NPP5,SUB,SPPB,SPP5,SPP7,,Na夫e,NPPB,NPP5,SUB,SPPB,SPP5,SPP7,,Na夫e,NPPB,NPP5,SUB,SPPB,SPP5,SPP7
0.432383979,-0.788017352,-1.120550034,0.649494662,0.022436391,0.298215357,0.136991145,,0.889789733,1.093232211,0.904442183,-0.031697859,0.07349441,-0.978022112,-1.229372534,,-0.945068162,-0.990734938,-0.858692945,0.185440218,-0.271924102,1.520988421,0.661367497,,0.673598958,0.695852486,0.745307081,0.683546445,-0.611563066,0.080563572,-1.738615844
-1.155429603,-1.31266338,-1.056201368,0.343146364,0.38645164,0.956627311,0.956995448,,0.870064548,1.151393128,1.00285492,0.241249955,-0.369186583,-0.736862483,-1.403435337,,-0.655486331,-0.427696157,-0.547360548,-0.793150419,-0.408617022,1.267765145,1.156909573,,1.412150991,0.267929206,0.361026018,-0.198057662,-0.171114312,0.243583569,-1.405241256
-1.309793651,-1.071663139,-0.90700063,0.139819974,0.202070476,1.240501535,0.883951082,,0.991109057,0.869371488,0.92031372,0.086470683,0.178953746,-0.927628023,-1.423392105,,-1.054190761,-1.027356685,-0.881046207,-0.129751369,-0.189130663,1.258694297,1.282132975,,0.825816087,0.214372735,0.933860471,0.546481297,-0.516930586,-0.014338941,-1.495748739
-1.149443213,-1.15426076,-1.076174679,0.198398045,0.359573005,1.151390389,0.82554755,,0.957587992,1.115151919,0.91835822,-0.015599099,-0.005425787,-0.930646644,-1.291652069,,-1.19188219,-1.184882148,-0.804351673,-0.006942806,0.038204904,1.092888501,1.261686408,,0.842122831,-0.032952886,0.452279765,1.24024431,0.171457347,-1.033479195,-1.324309744
-0.994609432,-1.179553303,-1.066462805,0.22965984,0.195039815,1.173141411,0.832628089,,0.813221749,1.197402793,0.925016456,0.142945592,-0.289553643,-0.658400818,-1.396721879,,-0.898941593,-0.75552197,-0.559836761,-0.437476742,-0.299136286,1.731101569,0.666236703,,1.017550611,0.088458507,0.674068975,1.05643693,-0.023781798,-0.820878597,-1.546835104
-1.145219688,-1.207308249,-0.983715369,0.25480864,0.130748962,0.924518361,1.192106517,,0.926821808,1.26358412,0.891651418,0.222083439,-0.326737978,-0.997474215,-1.209414256,,-0.695010225,-0.732863705,-0.445084332,-0.421467276,-0.481748386,1.981785026,0.326149333,,1.501021197,0.295266882,0.605483538,-0.47975358,-0.950137266,0.485066668,-0.856504535
-0.988276284,-1.122977498,-1.00225697,0.234930526,-0.024434701,1.141017426,0.983619813,,1.184615677,0.826024968,0.71740648,0.259075821,0.038543051,-0.792010456,-1.551643761,,-1.163855729,-1.110416872,-0.620971949,-0.339561217,0.277891503,1.055741073,1.177362054,,0.786494797,0.361494788,0.960497193,0.976182883,-0.318072399,-0.596990769,-1.642484799
-1.040811268,-1.077938199,-1.072952138,0.675706337,0.031518682,1.171726405,0.514824779,,0.968748815,0.795123125,0.798199136,0.392217398,0.025222912,-0.735673203,-1.603320413,,-0.992743919,-1.065586326,-0.778970209,-0.537659167,0.12150195,1.185538588,1.358593969,,1.613634297,0.442859119,0.366479487,0.322642903,-0.042311119,-0.569071545,-1.528489917
-1.152784893,-1.346903383,-1.111420545,0.459384146,0.387201055,0.844097296,1.017649119,,0.763181066,0.933708918,0.999892416,0.361956577,-0.221926188,-0.634575894,-1.528041295,,-1.086713661,-0.948511046,-0.912503457,-0.526052349,0.214106129,1.219338137,1.303404204,,0.509706963,0.584680172,0.609859772,0.932647907,-0.429507622,-0.544240496,-1.23708497
-1.139199152,-1.317925837,-1.162802133,0.404050944,0.435597156,1.001659501,0.87363774,,0.022855556,1.205735238,0.960072264,0.514219169,-0.321514447,-0.414624329,-1.419577687,,-0.640808277,-0.666472792,-0.506559714,-0.410178121,-0.512408217,2.070082645,0.21288428,,1.007116555,0.529114131,0.706309792,0.759967318,-0.40029183,-0.391773005,-1.649807842
