,values,Group,Cluster
264,-1.13381690759416,Naive,Cluster 1
265,-0.668818862282069,Naive,Cluster 1
266,-1.08983162505344,Naive,Cluster 1
267,-1.02988041112626,Naive,Cluster 1
268,-0.514392448858007,Naive,Cluster 1
269,-0.33568236794654,Naive,Cluster 1
270,-0.699042456561119,Naive,Cluster 1
271,-0.0775468163259435,Naive,Cluster 1
272,-0.687050071780707,Naive,Cluster 1
273,-0.381185609256482,Naive,Cluster 1
274,-0.90603471827104,Naive,Cluster 1
275,-0.69784151527339,Naive,Cluster 1
276,-1.16637093720572,Naive,Cluster 1
277,-0.698258063818695,Naive,Cluster 1
278,-0.9572161101786,Naive,Cluster 1
279,-1.22408099460213,Naive,Cluster 1
280,-0.885809731170462,Naive,Cluster 1
281,-1.10771835506126,Naive,Cluster 1
282,-0.963095893199739,Naive,Cluster 1
283,-1.13402073204012,Naive,Cluster 1
284,-0.543911859128015,Naive,Cluster 1
285,-0.917358025579914,Naive,Cluster 1
286,-0.571203713758861,Naive,Cluster 1
287,-0.973361617981492,Naive,Cluster 1
288,-0.989695567166681,Naive,Cluster 1
289,-0.75340651325524,Naive,Cluster 1
290,-0.988530149899932,Naive,Cluster 1
291,-0.161855828773298,Naive,Cluster 1
292,-0.950055334501981,Naive,Cluster 1
293,-1.21316315529567,Naive,Cluster 1
294,-1.13060626984931,Naive,Cluster 1
295,-1.03583830645534,Naive,Cluster 1
296,-1.02090082530745,Naive,Cluster 1
297,-1.50743841037177,Naive,Cluster 1
298,-0.89565655545938,Naive,Cluster 1
299,-1.12873894911216,Naive,Cluster 1
300,-0.867311785420448,Naive,Cluster 1
301,-0.878158406297948,Naive,Cluster 1
302,-0.805117836229309,Naive,Cluster 1
303,-1.2220498856954,Naive,Cluster 1
304,-1.28519992972881,Naive,Cluster 1
305,-1.15440908129097,Naive,Cluster 1
306,-1.26186713128063,Naive,Cluster 1
307,-1.20753467557254,Naive,Cluster 1
308,-0.711843448689112,Naive,Cluster 1
309,-1.52271038318885,Naive,Cluster 1
310,-0.88584241241283,Naive,Cluster 1
311,-1.16768716574218,Naive,Cluster 1
312,-1.09386624218787,Naive,Cluster 1
313,-1.16384036068815,Naive,Cluster 1
314,-1.21929558410598,Naive,Cluster 1
315,-1.25817696896973,Naive,Cluster 1
316,-1.24075376976429,Naive,Cluster 1
317,-1.1953788918123,Naive,Cluster 1
318,-1.25856371449254,Naive,Cluster 1
319,-1.32585703434634,Naive,Cluster 1
320,-1.30202230938706,Naive,Cluster 1
321,-1.37241914718606,Naive,Cluster 1
322,-1.20257560547036,Naive,Cluster 1
323,-0.857984681891469,Naive,Cluster 1
324,-1.01783785849568,Naive,Cluster 1
325,-0.694386865671613,Naive,Cluster 1
326,-0.600059401296278,Naive,Cluster 1
327,-0.954992952732022,Naive,Cluster 1
328,-1.45208598087312,Naive,Cluster 1
329,-1.14731856850551,Naive,Cluster 1
330,-1.27639967844248,Naive,Cluster 1
331,-1.11412677686811,Naive,Cluster 1
332,-1.20752745268517,Naive,Cluster 1
333,-1.2114651055523,Naive,Cluster 1
334,-0.72411341364868,Naive,Cluster 1
335,-0.947888336515893,Naive,Cluster 1
336,-0.777308441380323,Naive,Cluster 1
337,-0.881691370517791,Naive,Cluster 1
338,-1.13263731131487,Naive,Cluster 1
339,0.234766816496485,Naive,Cluster 1
340,-1.03720637833069,Naive,Cluster 1
341,-1.10273217551725,Naive,Cluster 1
342,-0.961401724170164,Naive,Cluster 1
343,-0.343264563295106,Naive,Cluster 1
344,-0.00801491062651164,Naive,Cluster 1
345,-0.216956995297254,Naive,Cluster 1
346,-0.627509741984084,Naive,Cluster 1
347,-0.338819574974188,Naive,Cluster 1
348,-1.03206493017388,Naive,Cluster 1
349,-1.11898096042182,Naive,Cluster 1
350,-1.00960872095755,Naive,Cluster 1
351,-0.727280527934436,Naive,Cluster 1
352,-1.29014221900118,Naive,Cluster 1
353,-0.65788774138822,Naive,Cluster 1
354,-0.996996355942582,Naive,Cluster 1
355,-1.12814083334188,Naive,Cluster 1
356,-0.771222522498281,Naive,Cluster 1
357,-1.06943840189217,Naive,Cluster 1
358,-1.25175306226381,Naive,Cluster 1
359,-1.00122114956232,Naive,Cluster 1
360,-1.32395774497258,Naive,Cluster 1
361,-1.04871877364095,Naive,Cluster 1
362,-0.843839138992037,Naive,Cluster 1
363,-0.695212597549316,Naive,Cluster 1
364,-1.26204826501378,Naive,Cluster 1
365,-1.1267588653427,Naive,Cluster 1
366,-0.733080903847464,Naive,Cluster 1
367,-1.19924246987685,Naive,Cluster 1
368,-1.20315656470318,Naive,Cluster 1
369,-1.40348239938401,Naive,Cluster 1
370,-1.26083650450799,Naive,Cluster 1
371,-1.16386799972437,Naive,Cluster 1
372,-1.09642112223336,Naive,Cluster 1
373,-1.18202431082483,Naive,Cluster 1
374,-1.16748273976934,Naive,Cluster 1
375,-1.06786425412593,Naive,Cluster 1
376,-0.82892036067416,Naive,Cluster 1
377,-0.976810160067869,Naive,Cluster 1
378,-0.833748501480854,Naive,Cluster 1
379,0.0535605530137687,Naive,Cluster 1
380,-1.173532425657,Naive,Cluster 1
381,0.118876641936525,Naive,Cluster 1
382,-0.965640129992801,Naive,Cluster 1
383,-1.11603780962704,Naive,Cluster 1
384,-1.03191354068484,Naive,Cluster 1
385,-0.729370323218583,Naive,Cluster 1
386,-0.924561825831732,Naive,Cluster 1
387,-1.30353707408073,Naive,Cluster 1
388,-1.22944823208932,Naive,Cluster 1
389,-1.09228091739339,Naive,Cluster 1
390,-1.34861624575251,Naive,Cluster 1
391,-1.15997117573855,Naive,Cluster 1
392,-0.733563521494211,Naive,Cluster 1
393,-1.06230056903979,Naive,Cluster 1
394,-0.94371834332776,Naive,Cluster 1
395,-1.00274412246478,Naive,Cluster 1
396,-1.22527343041503,Naive,Cluster 1
397,-1.47442994690326,Naive,Cluster 1
398,-1.0595711380894,Naive,Cluster 1
399,-1.22987708283602,Naive,Cluster 1
400,-1.30394873497671,Naive,Cluster 1
401,-1.11798794127459,Naive,Cluster 1
402,-1.36788291393885,Naive,Cluster 1
403,-1.04427371660138,Naive,Cluster 1
404,-0.523558816082193,Naive,Cluster 1
405,-0.479386757708727,Naive,Cluster 1
406,-1.01511944039367,Naive,Cluster 1
407,-1.15400281903836,Naive,Cluster 1
408,-0.926181566804153,Naive,Cluster 1
409,-1.11791127668872,Naive,Cluster 1
410,-1.11432650965373,Naive,Cluster 1
411,-1.24853031190406,Naive,Cluster 1
412,-1.13210413229653,Naive,Cluster 1
413,-0.965332105765196,Naive,Cluster 1
414,-1.00667281665614,Naive,Cluster 1
415,-1.00009410160321,Naive,Cluster 1
416,-1.16882388730687,Naive,Cluster 1
417,-1.04855542710458,Naive,Cluster 1
418,-1.09220449411293,Naive,Cluster 1
419,-1.22238223148935,Naive,Cluster 1
420,-0.691978784022816,Naive,Cluster 1
421,-0.874091085390719,Naive,Cluster 1
422,-0.744739186009625,Naive,Cluster 1
423,-1.11334450802527,Naive,Cluster 1
424,-1.16976035902635,Naive,Cluster 1
425,-0.756265824134386,Naive,Cluster 1
426,-1.07204466227451,Naive,Cluster 1
427,-1.12286857246454,Naive,Cluster 1
428,-1.10177287875659,Naive,Cluster 1
429,-1.26681213363054,Naive,Cluster 1
430,-1.1864548264161,Naive,Cluster 1
431,-1.08268071885828,Naive,Cluster 1
432,-0.315636847388162,Naive,Cluster 1
433,-0.887620435751845,Naive,Cluster 1
434,-0.814960256352797,Naive,Cluster 1
435,-1.00952720848833,Naive,Cluster 1
436,-0.915030579106697,Naive,Cluster 1
437,-1.14696500141804,Naive,Cluster 1
438,-0.872535737118918,Naive,Cluster 1
439,-0.73979595485111,Naive,Cluster 1
440,-1.01431870763099,Naive,Cluster 1
441,-1.19440734237166,Naive,Cluster 1
442,-1.3120046040317,Naive,Cluster 1
443,-1.02489485094188,Naive,Cluster 1
444,-1.21641262238518,Naive,Cluster 1
445,-1.15447406337398,Naive,Cluster 1
446,-1.01942105080517,Naive,Cluster 1
447,-1.0211250732695,Naive,Cluster 1
448,-0.533831528188302,Naive,Cluster 1
449,-0.917371307489652,Naive,Cluster 1
450,-0.957171071083355,Naive,Cluster 1
451,-1.14573452580982,Naive,Cluster 1
452,-0.989461167920685,Naive,Cluster 1
453,-1.05908854324767,Naive,Cluster 1
454,-0.843705461861464,Naive,Cluster 1
455,-1.33188400015394,Naive,Cluster 1
456,-1.16246345469339,Naive,Cluster 1
457,-1.28059307561642,Naive,Cluster 1
458,-1.28722922581232,Naive,Cluster 1
459,-0.849045505166835,Naive,Cluster 1
460,-1.09669245070573,Naive,Cluster 1
461,-0.909625646757119,Naive,Cluster 1
462,-1.31641546324317,Naive,Cluster 1
463,-1.06751020711534,Naive,Cluster 1
