"","gene","cluster4"
"Aknad1_2","Aknad1_2",2
"Aknad1_3","Aknad1_3",2
"ENSMUSG00000080676_4","ENSMUSG00000080676_4",2
"ENSMUSG00000080676_12","ENSMUSG00000080676_12",2
"S1pr1_1","S1pr1_1",2
"ENSMUSG00000052769","ENSMUSG00000052769",2
"ENSMUSG00000052769_1","ENSMUSG00000052769_1",2
"ENSMUSG00000052769_2","ENSMUSG00000052769_2",2
"Gm26544","Gm26544",2
"Rwdd3","Rwdd3",2
"ENSMUSG00000093177","ENSMUSG00000093177",2
"Tlcd4","Tlcd4",2
"F3","F3",2
"Dnttip2","Dnttip2",2
"Arsj","Arsj",2
"Neurog2_2","Neurog2_2",2
"Neurog2_3","Neurog2_3",2
"Neurog2_4","Neurog2_4",2
"Neurog2_5","Neurog2_5",2
"Gm16238","Gm16238",2
"Enpep_2","Enpep_2",2
"Enpep_3","Enpep_3",2
"Ostc","Ostc",2
"Rpl34-ps1;Rpl34","Rpl34-ps1;Rpl34",2
"ENSMUSG00000088522_5","ENSMUSG00000088522_5",2
"ENSMUSG00000088522_8","ENSMUSG00000088522_8",2
"ENSMUSG00000088522_9","ENSMUSG00000088522_9",2
"ENSMUSG00000088522_10","ENSMUSG00000088522_10",2
"Lef1","Lef1",2
"Cenpe_1","Cenpe_1",2
"Adh5_1","Adh5_1",2
"Bmpr1b","Bmpr1b",2
"Bmpr1b_1","Bmpr1b_1",2
"Gm24728_2","Gm24728_2",2
"Lmo4","Lmo4",2
"Lmo4_2","Lmo4_2",2
"Ddah1","Ddah1",2
"Ddah1_1","Ddah1_1",2
"ENSMUSG00000103566","ENSMUSG00000103566",2
"ENSMUSG00000103566_1","ENSMUSG00000103566_1",2
"Tox_4","Tox_4",2
"8430436N08Rik","8430436N08Rik",2
"Chd7_1","Chd7_1",2
"Chd7_3","Chd7_3",2
"ENSMUSG00000092724","ENSMUSG00000092724",2
"1700123O12Rik","1700123O12Rik",2
"ENSMUSG00000081490","ENSMUSG00000081490",2
"ENSMUSG00000081490_1","ENSMUSG00000081490_1",2
"Atp6v0d2","Atp6v0d2",2
"ENSMUSG00000087049_2","ENSMUSG00000087049_2",2
"ENSMUSG00000087049_3","ENSMUSG00000087049_3",2
"ENSMUSG00000087049_5","ENSMUSG00000087049_5",2
"ENSMUSG00000087049_6","ENSMUSG00000087049_6",2
"ENSMUSG00000087049_7","ENSMUSG00000087049_7",2
"Bach2os","Bach2os",2
"Gabrr2","Gabrr2",2
"Gabrr2_1","Gabrr2_1",2
"Srsf12","Srsf12",2
"Ifnk","Ifnk",2
"Mob3b","Mob3b",2
"B4galt1_2","B4galt1_2",2
"Shb","Shb",2
"Hemgn","Hemgn",2
"Abca1","Abca1",2
"ENSMUSG00000087192","ENSMUSG00000087192",2
"ENSMUSG00000087192_1","ENSMUSG00000087192_1",2
"Slc44a1","Slc44a1",2
"Rad23b","Rad23b",2
"ENSMUSG00000084144","ENSMUSG00000084144",2
"Pakap","Pakap",2
"Pakap_1","Pakap_1",2
"ENSMUSG00000073846","ENSMUSG00000073846",2
"ENSMUSG00000073846_1","ENSMUSG00000073846_1",2
"Gm26138","Gm26138",2
"Gm26138_1","Gm26138_1",2
"Gm26138_2","Gm26138_2",2
"ENSMUSG00000086952_3","ENSMUSG00000086952_3",2
"ENSMUSG00000085223","ENSMUSG00000085223",2
"Orm1_1","Orm1_1",2
"ENSMUSG00000086027","ENSMUSG00000086027",2
"Haus6","Haus6",2
"Gm12630_1","Gm12630_1",2
"Focad","Focad",2
"ENSMUSG00000085835","ENSMUSG00000085835",2
"ENSMUSG00000082683","ENSMUSG00000082683",2
"ENSMUSG00000048747","ENSMUSG00000048747",2
"Sgip1","Sgip1",2
"Gm12804","Gm12804",2
"Nkain1","Nkain1",2
"ENSMUSG00000103678_1","ENSMUSG00000103678_1",2
"Gm25938","Gm25938",2
"ENSMUSG00000085819","ENSMUSG00000085819",2
"Morn1","Morn1",2
"Faap20_5","Faap20_5",2
"Dmtf1","Dmtf1",2
"ENSMUSG00000073174","ENSMUSG00000073174",2
"Gsap_2","Gsap_2",2
"H2af-ps1_1","H2af-ps1_1",2
"Gm16223","Gm16223",2
"Tapt1_1","Tapt1_1",2
"Dthd1_2","Dthd1_2",2
"ENSMUSG00000083100","ENSMUSG00000083100",2
"ENSMUSG00000093029_3","ENSMUSG00000093029_3",2
"ENSMUSG00000093029_4","ENSMUSG00000093029_4",2
"ENSMUSG00000097668","ENSMUSG00000097668",2
"Klf3","Klf3",2
"Tmem156","Tmem156",2
"Chrna9_1","Chrna9_1",2
"9130230L23Rik","9130230L23Rik",2
"9130230L23Rik_4","9130230L23Rik_4",2
"ENSMUSG00000097092","ENSMUSG00000097092",2
"Limch1","Limch1",2
"ENSMUSG00000082705","ENSMUSG00000082705",2
"ENSMUSG00000093400","ENSMUSG00000093400",2
"ENSMUSG00000093400_1","ENSMUSG00000093400_1",2
"Txk_3","Txk_3",2
"ENSMUSG00000052154","ENSMUSG00000052154",2
"ENSMUSG00000084132_1","ENSMUSG00000084132_1",2
"ENSMUSG00000084132_2","ENSMUSG00000084132_2",2
"Kdr","Kdr",2
"Gnrhr_1","Gnrhr_1",2
"Rassf6","Rassf6",2
"Ppef2","Ppef2",2
"Sdad1","Sdad1",2
"Cxcl11","Cxcl11",2
"Stbd1_2","Stbd1_2",2
"Bmp2k","Bmp2k",2
"Gm8048_1","Gm8048_1",2
"ENSMUSG00000095133_1","ENSMUSG00000095133_1",2
"Gm8145_1","Gm8145_1",2
"Brdt","Brdt",2
"Evi5","Evi5",2
"Dipk1a","Dipk1a",2
"ENSMUSG00000086167","ENSMUSG00000086167",2
"Orai2_1","Orai2_1",2
"Usp12_1","Usp12_1",2
"ENSMUSG00000098053","ENSMUSG00000098053",2
"ENSMUSG00000085639_1","ENSMUSG00000085639_1",2
"ENSMUSG00000085971","ENSMUSG00000085971",2
"Mm2pr","Mm2pr",2
"Stard13","Stard13",2
"Gm26075_1","Gm26075_1",2
"Gm6578","Gm6578",2
"Bmt2","Bmt2",2
"Fam3c","Fam3c",2
"Fam3c_2","Fam3c_2",2
"Gm5303","Gm5303",2
"Gm5303_1","Gm5303_1",2
"Gm5303_2","Gm5303_2",2
"Strip2","Strip2",2
"Tmem140","Tmem140",2
"ENSMUSG00000077852","ENSMUSG00000077852",2
"Slc37a3","Slc37a3",2
"Dennd11_1","Dennd11_1",2
"Creb5","Creb5",2
"Nt5c3_1","Nt5c3_1",2
"Abcg2","Abcg2",2
"Herc3_1","Herc3_1",2
"Herc3_2","Herc3_2",2
"ENSMUSG00000090939","ENSMUSG00000090939",2
"Ndnf","Ndnf",2
"Mad2l1","Mad2l1",2
"Gng12","Gng12",2
"ENSMUSG00000053442","ENSMUSG00000053442",2
"Gm15644","Gm15644",2
"ENSMUSG00000097603","ENSMUSG00000097603",2
"Serbp1_1","Serbp1_1",2
"Rpia_2","Rpia_2",2
"Rpl34-ps1","Rpl34-ps1",2
"Gm1070","Gm1070",2
"Sh2d6_2","Sh2d6_2",2
"Tmsb10","Tmsb10",2
"Suclg1","Suclg1",2
"2310069B03Rik_2","2310069B03Rik_2",2
"Tlx2","Tlx2",2
"Mir6374_1","Mir6374_1",2
"Cyp26b1","Cyp26b1",2
"Lmod3_2","Lmod3_2",2
"ENSMUSG00000093559_7","ENSMUSG00000093559_7",2
"ENSMUSG00000093559_9","ENSMUSG00000093559_9",2
"ENSMUSG00000084547","ENSMUSG00000084547",2
"Pdzrn3","Pdzrn3",2
"ENSMUSG00000098674","ENSMUSG00000098674",2
"Arl8b_2","Arl8b_2",2
"Fbxl14_1","Fbxl14_1",2
"ENSMUSG00000095086_2","ENSMUSG00000095086_2",2
"Bid_1","Bid_1",2
"ENSMUSG00000003178","ENSMUSG00000003178",2
"Lpcat3","Lpcat3",2
"ENSMUSG00000092482","ENSMUSG00000092482",2
"Scnn1a","Scnn1a",2
"ENSMUSG00000085813","ENSMUSG00000085813",2
"ENSMUSG00000085813_1","ENSMUSG00000085813_1",2
"Gm26160_1","Gm26160_1",2
"Klre1","Klre1",2
"Klre1_1","Klre1_1",2
"Bcl2l14","Bcl2l14",2
"Gpr19_2","Gpr19_2",2
"Emp1","Emp1",2
"Plbd1","Plbd1",2
"BC049715","BC049715",2
"Erp27_3","Erp27_3",2
"ENSMUSG00000084477","ENSMUSG00000084477",2
"Aebp2","Aebp2",2
"ENSMUSG00000080921_1","ENSMUSG00000080921_1",2
"Gys2","Gys2",2
"Gm7457","Gm7457",2
"Gm7457_1","Gm7457_1",2
"Gm7457_2","Gm7457_2",2
"St8sia1","St8sia1",2
"St8sia1_1","St8sia1_1",2
"C2cd5_1","C2cd5_1",2
"ENSMUSG00000072677","ENSMUSG00000072677",2
"Lrmp_1","Lrmp_1",2
"Gm15706","Gm15706",2
"ENSMUSG00000085414_3","ENSMUSG00000085414_3",2
"ENSMUSG00000084815","ENSMUSG00000084815",2
"Vmn2r54_1","Vmn2r54_1",2
"Zfp235","Zfp235",2
"Zfp114_1","Zfp114_1",2
"Ceacam2","Ceacam2",2
"Ffar3","Ffar3",2
"ENSMUSG00000100905","ENSMUSG00000100905",2
"Gm22302","Gm22302",2
"Gm22302_3","Gm22302_3",2
"ENSMUSG00000101454_1","ENSMUSG00000101454_1",2
"Gm5594","Gm5594",2
"Gm26482","Gm26482",2
"Gm26482_3","Gm26482_3",2
"Gm23911","Gm23911",2
"Gm23911_1","Gm23911_1",2
"ENSMUSG00000077356_5","ENSMUSG00000077356_5",2
"ENSMUSG00000077356_6","ENSMUSG00000077356_6",2
"4930554H23Rik","4930554H23Rik",2
"Otud7a","Otud7a",2
"Gm3307_1","Gm3307_1",2
"Gm3307_3","Gm3307_3",2
"ENSMUSG00000098708_2","ENSMUSG00000098708_2",2
"ENSMUSG00000098708_3","ENSMUSG00000098708_3",2
"Aldh1a3","Aldh1a3",2
"Synm","Synm",2
"Igf1r","Igf1r",2
"Igf1r_1","Igf1r_1",2
"ENSMUSG00000086410","ENSMUSG00000086410",2
"Mctp2_4","Mctp2_4",2
"ENSMUSG00000101843","ENSMUSG00000101843",2
"ENSMUSG00000101843_4","ENSMUSG00000101843_4",2
"ENSMUSG00000101843_9","ENSMUSG00000101843_9",2
"ENSMUSG00000085161","ENSMUSG00000085161",2
"ENSMUSG00000088683_2","ENSMUSG00000088683_2",2
"ENSMUSG00000088683_3","ENSMUSG00000088683_3",2
"ENSMUSG00000088683_4","ENSMUSG00000088683_4",2
"Klhl25","Klhl25",2
"Klhl25_1","Klhl25_1",2
"Gm23239","Gm23239",2
"Ntrk3;E430016F16Rik","Ntrk3;E430016F16Rik",2
"Isg20_1","Isg20_1",2
"Gm26633","Gm26633",2
"Sema4b_1","Sema4b_1",2
"A530021J07Rik","A530021J07Rik",2
"Thap12","Thap12",2
"Arrb1","Arrb1",2
"ENSMUSG00000057215","ENSMUSG00000057215",2
"ENSMUSG00000057215_1","ENSMUSG00000057215_1",2
"Gm9105_1","Gm9105_1",2
"ENSMUSG00000073862","ENSMUSG00000073862",2
"Rras2_1","Rras2_1",2
"Abca16_2","Abca16_2",2
"Pdzd9","Pdzd9",2
"ENSMUSG00000073844_4","ENSMUSG00000073844_4",2
"ENSMUSG00000063254","ENSMUSG00000063254",2
"ENSMUSG00000063254_1","ENSMUSG00000063254_1",2
"ENSMUSG00000097751","ENSMUSG00000097751",2
"Gpr26","Gpr26",2
"Insr","Insr",2
"ENSMUSG00000074497","ENSMUSG00000074497",2
"Irs2","Irs2",2
"Tdrp_1","Tdrp_1",2
"Tdrp_2","Tdrp_2",2
"Tdrp_3","Tdrp_3",2
"Erich1","Erich1",2
"Erich1_2","Erich1_2",2
"Kat6a_1","Kat6a_1",2
"Golga7;Gm6829","Golga7;Gm6829",2
"Dusp4","Dusp4",2
"Dusp4_9","Dusp4_9",2
"Ppp1r3b_2","Ppp1r3b_2",2
"Cldn23","Cldn23",2
"Prag1","Prag1",2
"Prag1_3","Prag1_3",2
"Prag1_4","Prag1_4",2
"Prag1_5","Prag1_5",2
"Prag1_6","Prag1_6",2
"Trmt9b","Trmt9b",2
"Trmt9b_1","Trmt9b_1",2
"Trmt9b_3","Trmt9b_3",2
"Trmt9b_4","Trmt9b_4",2
"Trmt9b_5","Trmt9b_5",2
"Dlc1","Dlc1",2
"Gm25126","Gm25126",2
"Enpp6_1","Enpp6_1",2
"ENSMUSG00000064905","ENSMUSG00000064905",2
"Mir28b_7","Mir28b_7",2
"Mir28b_8","Mir28b_8",2
"ENSMUSG00000098378","ENSMUSG00000098378",2
"Gm8167","Gm8167",2
"Gm23626_1","Gm23626_1",2
"Gm24490_1","Gm24490_1",2
"Gm24490_2","Gm24490_2",2
"Gm24490_3","Gm24490_3",2
"ENSMUSG00000098391","ENSMUSG00000098391",2
"ENSMUSG00000098360","ENSMUSG00000098360",2
"ENSMUSG00000098086_1","ENSMUSG00000098086_1",2
"Mmp15","Mmp15",2
"Ces2g","Ces2g",2
"Pkd1l3","Pkd1l3",2
"ENSMUSG00000093165_4","ENSMUSG00000093165_4",2
"ENSMUSG00000093165_5","ENSMUSG00000093165_5",2
"Gm23677","Gm23677",2
"Gm23677_1","Gm23677_1",2
"Gm23677_2","Gm23677_2",2
"Gm23677_3","Gm23677_3",2
"Gm23677_4","Gm23677_4",2
"Gm23677_5","Gm23677_5",2
"Cmip","Cmip",2
"Cdh13","Cdh13",2
"Gse1_1","Gse1_1",2
"ENSMUSG00000086694","ENSMUSG00000086694",2
"Coa6","Coa6",2
"ENSMUSG00000090074_2","ENSMUSG00000090074_2",2
"2610044O15Rik8","2610044O15Rik8",2
"Mir5618_1","Mir5618_1",2
"Cntn5","Cntn5",2
"Cntn5_1","Cntn5_1",2
"Cntn5_2","Cntn5_2",2
"ENSMUSG00000095068_2","ENSMUSG00000095068_2",2
"Phxr4","Phxr4",2
"ENSMUSG00000090592","ENSMUSG00000090592",2
"Fam76b","Fam76b",2
"ENSMUSG00000090023_1","ENSMUSG00000090023_1",2
"Izumo1r_2","Izumo1r_2",2
"Keap1","Keap1",2
"Ilf3","Ilf3",2
"Elavl3_1","Elavl3_1",2
"ENSMUSG00000085969","ENSMUSG00000085969",2
"ENSMUSG00000066809","ENSMUSG00000066809",2
"Kcnj1_1","Kcnj1_1",2
"Ets1","Ets1",2
"Ets1_4","Ets1_4",2
"Foxred1","Foxred1",2
"Ccdc15","Ccdc15",2
"Clmp","Clmp",2
"Crtam","Crtam",2
"Tecta","Tecta",2
"Tecta_1","Tecta_1",2
"Nxpe4","Nxpe4",2
"Btg4","Btg4",2
"Gm16130","Gm16130",2
"Prtg","Prtg",2
"5730403I07Rik","5730403I07Rik",2
"ENSMUSG00000099779_1","ENSMUSG00000099779_1",2
"Mir7656","Mir7656",2
"Mir7656_1","Mir7656_1",2
"ENSMUSG00000100522","ENSMUSG00000100522",2
"ENSMUSG00000101042","ENSMUSG00000101042",2
"ENSMUSG00000103624_1","ENSMUSG00000103624_1",2
"ENSMUSG00000080636","ENSMUSG00000080636",2
"Gm5921_1","Gm5921_1",2
"Gm16142","Gm16142",2
"Tgfbr2_4","Tgfbr2_4",2
"Entpd3","Entpd3",2
"5830454E08Rik","5830454E08Rik",2
"Ulk4","Ulk4",2
"Slc6a20b_1","Slc6a20b_1",2
"Akap12_1","Akap12_1",2
"Zbtb2_1","Zbtb2_1",2
"Esr1","Esr1",2
"Esr1_1","Esr1_1",2
"ENSMUSG00000094906","ENSMUSG00000094906",2
"ENSMUSG00000094906_1","ENSMUSG00000094906_1",2
"Cnksr3","Cnksr3",2
"ENSMUSG00000101014","ENSMUSG00000101014",2
"Tnfaip3_2","Tnfaip3_2",2
"Tnfaip3_3","Tnfaip3_3",2
"Tnfaip3_4","Tnfaip3_4",2
"Olig3","Olig3",2
"Map7","Map7",2
"ENSMUSG00000097923_6","ENSMUSG00000097923_6",2
"ENSMUSG00000083196","ENSMUSG00000083196",2
"ENSMUSG00000083196_1","ENSMUSG00000083196_1",2
"Gm25016","Gm25016",2
"Gm25016_2","Gm25016_2",2
"Samd3","Samd3",2
"Samd3_1","Samd3_1",2
"L3mbtl3","L3mbtl3",2
"Themis","Themis",2
"ENSMUSG00000094452_3","ENSMUSG00000094452_3",2
"Amd2","Amd2",2
"Hdac2","Hdac2",2
"Rfpl4b","Rfpl4b",2
"Gm16364","Gm16364",2
"Gm8055","Gm8055",2
"Amd1","Amd1",2
"Cdk19","Cdk19",2
"Ppil6","Ppil6",2
"ENSMUSG00000102114","ENSMUSG00000102114",2
"Nr2e1_1","Nr2e1_1",2
"ENSMUSG00000086434_1","ENSMUSG00000086434_1",2
"ENSMUSG00000097008","ENSMUSG00000097008",2
"F930017D23Rik","F930017D23Rik",2
"Man1a_1","Man1a_1",2
"ENSMUSG00000090350_3","ENSMUSG00000090350_3",2
"ENSMUSG00000077090_2","ENSMUSG00000077090_2",2
"ENSMUSG00000093573","ENSMUSG00000093573",2
"Cabcoco1","Cabcoco1",2
"Upb1","Upb1",2
"Upb1_1","Upb1_1",2
"ENSMUSG00000083808","ENSMUSG00000083808",2
"Hcfc2_1","Hcfc2_1",2
"Cry1","Cry1",2
"Nedd1","Nedd1",2
"Nedd1_1","Nedd1_1",2
"Tmcc3","Tmcc3",2
"ENSMUSG00000089146","ENSMUSG00000089146",2
"Nudt4","Nudt4",2
"ENSMUSG00000094249","ENSMUSG00000094249",2
"Gm8601","Gm8601",2
"Gm8601_2","Gm8601_2",2
"Gm8601_4","Gm8601_4",2
"Gm8601_5","Gm8601_5",2
"Btg1","Btg1",2
"Btg1_1","Btg1_1",2
"Btg1_2","Btg1_2",2
"ENSMUSG00000102310_4","ENSMUSG00000102310_4",2
"Atp2b1_2","Atp2b1_2",2
"Atp2b1_4","Atp2b1_4",2
"Atp2b1_5","Atp2b1_5",2
"Atp2b1_6","Atp2b1_6",2
"Poc1b","Poc1b",2
"ENSMUSG00000089994","ENSMUSG00000089994",2
"1700017N19Rik","1700017N19Rik",2
"ENSMUSG00000084399","ENSMUSG00000084399",2
"Zdhhc17_2","Zdhhc17_2",2
"1700030O20Rik_1","1700030O20Rik_1",2
"Rab3ip_1","Rab3ip_1",2
"Gm9002","Gm9002",2
"Mdm2_1","Mdm2_1",2
"Rap1b_1","Rap1b_1",2
"Ifng","Ifng",2
"Ifng_1","Ifng_1",2
"Ifng_3","Ifng_3",2
"Mir763","Mir763",2
"Mir763_1","Mir763_1",2
"Tbc1d30_2","Tbc1d30_2",2
"BC048403","BC048403",2
"Mir6412_4","Mir6412_4",2
"Smarcc2_2","Smarcc2_2",2
"Sarnp","Sarnp",2
"Patz1","Patz1",2
"Patz1_3","Patz1_3",2
"Znrf3","Znrf3",2
"Znrf3_1","Znrf3_1",2
"Gm11998","Gm11998",2
"Gm11998_1","Gm11998_1",2
"Ppp3r1","Ppp3r1",2
"4930524B15Rik","4930524B15Rik",2
"Nsg2","Nsg2",2
"Gm12108","Gm12108",2
"Fndc9_1","Fndc9_1",2
"Cyfip2_3","Cyfip2_3",2
"Cyfip2_4","Cyfip2_4",2
"ENSMUSG00000088205","ENSMUSG00000088205",2
"Pigl","Pigl",2
"Mir212","Mir212",2
"Rtn4rl1","Rtn4rl1",2
"Ptrh2_1","Ptrh2_1",2
"Ptrh2_2","Ptrh2_2",2
"ENSMUSG00000044639","ENSMUSG00000044639",2
"ENSMUSG00000081304","ENSMUSG00000081304",2
"Top2a","Top2a",2
"Igfbp4_1","Igfbp4_1",2
"Igfbp4_2","Igfbp4_2",2
"Igfbp4_3","Igfbp4_3",2
"Igfbp4_4","Igfbp4_4",2
"Tns4","Tns4",2
"ENSMUSG00000086222","ENSMUSG00000086222",2
"Tmc8_1","Tmc8_1",2
"Dtnb","Dtnb",2
"Dtnb_1","Dtnb_1",2
"Pum2_1","Pum2_1",2
"ENSMUSG00000096633","ENSMUSG00000096633",2
"Lpin1_1","Lpin1_1",2
"Rock2","Rock2",2
"Hpcal1_1","Hpcal1_1",2
"Hpcal1_2","Hpcal1_2",2
"Id2","Id2",2
"ENSMUSG00000089441_1","ENSMUSG00000089441_1",2
"Eipr1_2","Eipr1_2",2
"Eipr1_3","Eipr1_3",2
"Eipr1_4","Eipr1_4",2
"ENSMUSG00000089583","ENSMUSG00000089583",2
"Snx13","Snx13",2
"Gm5434","Gm5434",2
"Gm5434_1","Gm5434_1",2
"Gm5434_2","Gm5434_2",2
"Dock4_2","Dock4_2",2
"ENSMUSG00000097159_4","ENSMUSG00000097159_4",2
"Nfkbia_2","Nfkbia_2",2
"Fbxo33_1","Fbxo33_1",2
"Fancm_1","Fancm_1",2
"Klhdc2","Klhdc2",2
"D830013O20Rik_1","D830013O20Rik_1",2
"Prkch_11","Prkch_11",2
"Prkch_12","Prkch_12",2
"Max","Max",2
"Actn1","Actn1",2
"Sipa1l1","Sipa1l1",2
"Gm18827","Gm18827",2
"Ston2","Ston2",2
"ENSMUSG00000098159","ENSMUSG00000098159",2
"Psmc1_2","Psmc1_2",2
"ENSMUSG00000055271_1","ENSMUSG00000055271_1",2
"4930465M20Rik_1","4930465M20Rik_1",2
"Gm24790","Gm24790",2
"1700016G22Rik_1","1700016G22Rik_1",2
"ENSMUSG00000072421","ENSMUSG00000072421",2
"Wdr37","Wdr37",2
"ENSMUSG00000088609","ENSMUSG00000088609",2
"ENSMUSG00000097009","ENSMUSG00000097009",2
"Edaradd","Edaradd",2
"Gm22358","Gm22358",2
"ENSMUSG00000082667","ENSMUSG00000082667",2
"ENSMUSG00000086785","ENSMUSG00000086785",2
"Mir6368","Mir6368",2
"Mir6368_1","Mir6368_1",2
"Mir6368_2","Mir6368_2",2
"ENSMUSG00000082730","ENSMUSG00000082730",2
"ENSMUSG00000082730_1","ENSMUSG00000082730_1",2
"Agtr1a_1","Agtr1a_1",2
"Hus1b","Hus1b",2
"Slc22a23_1","Slc22a23_1",2
"Hivep1","Hivep1",2
"Wnk2_1","Wnk2_1",2
"Auh","Auh",2
"Ctsj_1","Ctsj_1",2
"ENSMUSG00000092062","ENSMUSG00000092062",2
"Fbp2","Fbp2",2
"Aopep_1","Aopep_1",2
"ENSMUSG00000090232_5","ENSMUSG00000090232_5",2
"Cdk20","Cdk20",2
"Gm4810","Gm4810",2
"Gm4810_1","Gm4810_1",2
"Zfp58","Zfp58",2
"BC048507_1","BC048507_1",2
"Nkd2","Nkd2",2
"Nkd2_1","Nkd2_1",2
"Nkd2_2","Nkd2_2",2
"Nkd2_3","Nkd2_3",2
"ENSMUSG00000095943","ENSMUSG00000095943",2
"ENSMUSG00000095943_2","ENSMUSG00000095943_2",2
"Zfp825_3","Zfp825_3",2
"Erap1_2","Erap1_2",2
"Adgrv1","Adgrv1",2
"Gm24295_1","Gm24295_1",2
"Hapln1","Hapln1",2
"Gm8546","Gm8546",2
"Gm22778","Gm22778",2
"Gm22778_2","Gm22778_2",2
"Gm22778_3","Gm22778_3",2
"ENSMUSG00000085202","ENSMUSG00000085202",2
"ENSMUSG00000087319","ENSMUSG00000087319",2
"Gm6169","Gm6169",2
"ENSMUSG00000091577","ENSMUSG00000091577",2
"3830408C21Rik_3","3830408C21Rik_3",2
"3830408C21Rik_4","3830408C21Rik_4",2
"Mir582_1","Mir582_1",2
"ENSMUSG00000104438_1","ENSMUSG00000104438_1",2
"ENSMUSG00000104438_3","ENSMUSG00000104438_3",2
"Il31ra_6","Il31ra_6",2
"Ddx4","Ddx4",2
"ENSMUSG00000094518_3","ENSMUSG00000094518_3",2
"ENSMUSG00000093829","ENSMUSG00000093829",2
"ENSMUSG00000094027","ENSMUSG00000094027",2
"ENSMUSG00000096793","ENSMUSG00000096793",2
"Gm3182","Gm3182",2
"Gm3411","Gm3411",2
"Gm21103","Gm21103",2
"ENSMUSG00000091676","ENSMUSG00000091676",2
"Fam3d_3","Fam3d_3",2
"Mir5124b","Mir5124b",2
"Stab1","Stab1",2
"Mmrn2","Mmrn2",2
"Ktn1","Ktn1",2
"Tmem260","Tmem260",2
"Gm22116_1","Gm22116_1",2
"Amer2","Amer2",2
"Amer2_1","Amer2_1",2
"Sgcg","Sgcg",2
"Stmn4","Stmn4",2
"Egr3_1","Egr3_1",2
"ENSMUSG00000096463_1","ENSMUSG00000096463_1",2
"Gtf2f2","Gtf2f2",2
"Elf1","Elf1",2
"Elf1_1","Elf1_1",2
"ENSMUSG00000093684","ENSMUSG00000093684",2
"ENSMUSG00000093684_2","ENSMUSG00000093684_2",2
"ENSMUSG00000097927_1","ENSMUSG00000097927_1",2
"Diaph3","Diaph3",2
"Diaph3_1","Diaph3_1",2
"Tdrd3_1","Tdrd3_1",2
"Gm22970","Gm22970",2
"Mycbp2_4","Mycbp2_4",2
"4930505G20Rik","4930505G20Rik",2
"4930505G20Rik_2","4930505G20Rik_2",2
"1700044C05Rik_2","1700044C05Rik_2",2
"1700044C05Rik_3","1700044C05Rik_3",2
"Uggt2","Uggt2",2
"Hs6st3_2","Hs6st3_2",2
"Hs6st3_4","Hs6st3_4",2
"Rap2a_1","Rap2a_1",2
"Dock9_2","Dock9_2",2
"Clybl_1","Clybl_1",2
"1700108J01Rik_1","1700108J01Rik_1",2
"1700108J01Rik_5","1700108J01Rik_5",2
"1700108J01Rik_9","1700108J01Rik_9",2
"Tmtc4","Tmtc4",2
"Tmtc4_1","Tmtc4_1",2
"Tmtc4_2","Tmtc4_2",2
"Tmtc4_5","Tmtc4_5",2
"Ccdc152","Ccdc152",2
"Ccdc152_1","Ccdc152_1",2
"ENSMUSG00000086297_1","ENSMUSG00000086297_1",2
"Prkaa1","Prkaa1",2
"Rictor","Rictor",2
"ENSMUSG00000098281","ENSMUSG00000098281",2
"ENSMUSG00000103047","ENSMUSG00000103047",2
"Il7r_3","Il7r_3",2
"ENSMUSG00000103315","ENSMUSG00000103315",2
"Basp1","Basp1",2
"Myo10","Myo10",2
"Myo10_1","Myo10_1",2
"Retreg1","Retreg1",2
"Retreg1_1","Retreg1_1",2
"Retreg1_2","Retreg1_2",2
"Otulinl_3","Otulinl_3",2
"Otulinl_4","Otulinl_4",2
"Otulinl_5","Otulinl_5",2
"Otulinl_6","Otulinl_6",2
"Otulinl_7","Otulinl_7",2
"Otulinl_8","Otulinl_8",2
"Trio_1","Trio_1",2
"Trio_2","Trio_2",2
"Dnah5","Dnah5",2
"Dnah5_1","Dnah5_1",2
"Gm26416","Gm26416",2
"Atpsckmt","Atpsckmt",2
"Rpl7a-ps3","Rpl7a-ps3",2
"Gm16291","Gm16291",2
"ENSMUSG00000097232_1","ENSMUSG00000097232_1",2
"Pkhd1l1","Pkhd1l1",2
"Pkhd1l1_3","Pkhd1l1_3",2
"Med30","Med30",2
"Med30_2","Med30_2",2
"Med30_3","Med30_3",2
"Med30_4","Med30_4",2
"Ext1","Ext1",2
"Gm22299","Gm22299",2
"Ndufb9","Ndufb9",2
"Trib1_3","Trib1_3",2
"Gm23907","Gm23907",2
"Gm23907_1","Gm23907_1",2
"Trappc9_5","Trappc9_5",2
"Ptk2","Ptk2",2
"Gm23220","Gm23220",2
"Gramd4","Gramd4",2
"Plxnb2","Plxnb2",2
"Pphln1","Pphln1",2
"Pphln1_1","Pphln1_1",2
"Adamts20","Adamts20",2
"Eef2kmt","Eef2kmt",2
"Parn","Parn",2
"2510009E07Rik_2","2510009E07Rik_2",2
"Hrg_1","Hrg_1",2
"Gm6493","Gm6493",2
"Gm6493_1","Gm6493_1",2
"Gm6493_2","Gm6493_2",2
"ENSMUSG00000087979","ENSMUSG00000087979",2
"ENSMUSG00000087979_1","ENSMUSG00000087979_1",2
"ENSMUSG00000103861_1","ENSMUSG00000103861_1",2
"Gm22672","Gm22672",2
"Tprg","Tprg",2
"Muc20","Muc20",2
"ENSMUSG00000052192","ENSMUSG00000052192",2
