Cluster 1,Cluster 2,Cluster 3,Cluster 4
Mcu,ENSMUSG00000100548,Gm1070,Anxa2
Ppp1r12a,Kcnmb4,Gm31108,4933432G23Rik
Zc3h12d,Dgka,Eno2,Dlec1
Tab2,Lrp11,Bcat1,Cx3cr1
Stx11,Rab3ip,Lag3,ENSMUSG00000110751
Phactr2,Olig3,Ptms,Xcr1
Map3k5,Snrpd3,ENSMUSG00000095526,Ccr3
Mtfr2,Mmp11,Slc25a13,Ccr2
Myb,ENSMUSG00000112433,Capg,Ccr5
Samd3,Gamt,ENSMUSG00000108526,Cxcr6
Nr3c2,Tle6,ENSMUSG00000107801,ENSMUSG00000085379
Nfatc3,ENSMUSG00000112381,ENSMUSG00000082120,Jup
Sntb2,Washc4,ENSMUSG00000108199,ENSMUSG00000054418
Nfat5,Tdrp,Cd9,Pttg1
Proz,ENSMUSG00000087685,Rad51ap1,Atp6v0a1
Tfdp1,1810012K16Rik,Rps4l,Ccdc40
Casp3,Neto2,ENSMUSG00000107647,Hs3st3b1
Cmtr2,Psd3,Gm13899,Dusp3
Neil3,ENSMUSG00000110545,Nrip2,D930048N14Rik
Sh3rf1,Rpl13,Vax2,Evi2a
Maf,ENSMUSG00000109709,Chn2,ENSMUSG00000100629
Cyld,ENSMUSG00000110702,ENSMUSG00000112144,Cd7
Sugp2,Adgrg5,Gabarapl1,Metrnl
Nlrc5,ENSMUSG00000110317,ENSMUSG00000108122,Gm12253
Rnf170,Klf2,Klri2,ENSMUSG00000084796
Cers4,Col4a1,ENSMUSG00000108067,4930544D05Rik
Nrp1,Mmp15,ENSMUSG00000107448,Cd300lf
Itgb1,ENSMUSG00000110446,ENSMUSG00000107696,Wfikkn2
Ccdc7a,Gm8730,Styk1,Armc7
Ces2c,Ppp1r3b,Pde1c,Hus1
Zdhhc2,Prag1,ENSMUSG00000108214,Plek
Tbc1d4,Ces2e,Apold1,Cnrip1
Ndfip2,Siah1a,Gprc5a,Rap1gap2
Spry2,Chrna2,Bhlhe40,Tbx21
Xkr6,Rubcnl,Ndnf,Srcin1
ENSMUSG00000102764,Dnajc15,Prdm5,Heatr9
Farp1,Epsti1,ENSMUSG00000107750,Ccl5
ENSMUSG00000085133,Sh3bp5,ENSMUSG00000097998,Ccl9
Cacna1d,Rgcc,Vamp8,Ccl6
Kctd9,ENSMUSG00000115368,Pon3,Prss16
3830406C13Rik,Trav1,Asns,H4c4
Cysltr2,ENSMUSG00000076760,Ica1,Fbxw17
Gng2,Trav6-1,ENSMUSG00000090559,Elovl7
Adk,Trav7d-3,Cttn,Txndc5
Trav16,Trav9n-4,Zfp975,Gzma
Abhd4,Trav16n,Siglecf,Gzmk
Gm19016,Trav7-3,ENSMUSG00000055323,Itga1
Slc22a17,Trav8-1,Fam71e1,F2r
Ptger2,Trav13-1,Napsa,F2rl2
ENSMUSG00000115735,Trdv2-2,Spn,ENSMUSG00000118445
ENSMUSG00000115553,ENSMUSG00000104876,Calm3,Ctla2a
Slc4a7,Slc7a7,Dmwd,Lpin1
Thoc7,Mmp14,Denn2b,ENSMUSG00000086372
ENSMUSG00000094634,Myh6,Six5,Ywhaq
Igsf9b,Mcpt8,ENSMUSG00000107985,Gm4419
Ddx43,ENSMUSG00000114390,Rtn2,Id2
ENSMUSG00000111481,Rps24,ENSMUSG00000109314,ENSMUSG00000113587
Gramd1b,Usp28,Trim72,ENSMUSG00000113669
Bcl2a1d,Rab39,ENSMUSG00000109031,Sh3yl1
Bcl2a1b,ENSMUSG00000097111,Ticrr,Ighv6-4
Crtam,Gpr83,ENSMUSG00000098041,Gm10432
Chst2,Cyp11a1,Pex11a,F730035M05Rik
ENSMUSG00000103507,ENSMUSG00000101595,Ddias,ENSMUSG00000114005
Gm20275,Rplp1,Ttyh1,ENSMUSG00000113425
Cxcr5,Tmem108,Mical2,Gphn
Pfkfb4,Iqch,Itgad,Adssl1
Il10ra,Rpl4,4931431B13Rik,Crip1
Tmem205,Als2cl,Zfp93,Ly6a
Plppr2,Fam240a,Sbk2,Ly6c1
Kif9,ENSMUSG00000103445,Capn5,Ly6c2
Rab8b,Rpl14,ENSMUSG00000108923,Ly6a2
Fam81a,Nedd4,Map6,Ncald
Myo1e,ENSMUSG00000104273,Itpripl2,Mettl7a1
Eomes,Vipr1,Zbtb32,Il2rb
