,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
148,148,ENSMUSG00000024238,Zeb1,Down,-1.24887629028311,0.0106349505322295,-2.46436328078916
149,149,ENSMUSG00000106205,ENSMUSG00000106205,Down,-1.89192622484625,0.0513319372197573,-2.43985141644768
150,150,ENSMUSG00000078922,Tgtp1,Down,-2.35166864713739,0.0982643449020316,-2.3695508220942
151,151,ENSMUSG00000037138,Aff3,Down,-2.02340855706136,0.0725464663527988,-2.30543880251309
152,152,ENSMUSG00000021127,Zfp36l1,Down,-1.05717936835754,0.00679617653031352,-2.29168508689641
153,153,ENSMUSG00000040820,Hlcs,Down,-1.73254383603604,0.0916144193376529,-1.79844316212985
154,154,ENSMUSG00000046169,Adamts6,Down,-1.57120139653306,0.080240660807618,-1.7214168970202
155,155,ENSMUSG00000026009,Icos,Down,-1.12558877069915,0.0362318082810396,-1.62187210474695
156,156,ENSMUSG00000043991,Pura,Down,-1.5777098373235,0.098797295528615,-1.58600061353798
157,157,ENSMUSG00000040451,Sgms1,Down,-1.29727144520205,0.0613258649144171,-1.572755232713
158,158,ENSMUSG00000041997,Tlk1,Down,-0.986422394866762,0.0656024318655229,-1.1670166672284
159,159,ENSMUSG00000026721,Rabgap1l,Down,-0.947623419245824,0.0705293139643803,-1.09131188097061
