,gene,Geneid,genename,change,log2FC,padj,Change Metric
39,39,ENSMUSG00000112942,ENSMUSG00000112942,Up,7.38101339836861,0.0261230373604526,11.6839694896748
40,40,ENSMUSG00000094634,ENSMUSG00000094634,Up,5.17207427442504,0.00555111377100067,11.6662335109872
41,41,ENSMUSG00000041992,Rapgef5,Up,8.4642306667362,0.0505550954708087,10.9716325895785
42,42,ENSMUSG00000015968,Cacna1d,Up,4.58436664569886,0.00453293671847173,10.7440149343708
43,43,ENSMUSG00000086839,ENSMUSG00000086839,Up,8.1650406952129,0.0494835644432641,10.6597792637192
44,44,ENSMUSG00000023036,Pcdhgc4,Up,8.96679377767249,0.0662596605832277,10.5696152772891
45,45,ENSMUSG00000106547,ENSMUSG00000106547,Up,7.85713317196838,0.0497420454749451,10.240015918776
46,46,ENSMUSG00000024247,Pkdcc,Up,8.82044296307479,0.0698741129070245,10.1936420947675
47,47,ENSMUSG00000050538,ENSMUSG00000050538,Up,8.32395635368455,0.0602948499885987,10.1528942208661
48,48,ENSMUSG00000100075,ENSMUSG00000100075,Up,7.96909343669305,0.0559479395396433,9.97902553482144
49,49,ENSMUSG00000031530,Dusp4,Up,6.69936484608148,0.0336421099971425,9.86894672679128
50,50,ENSMUSG00000036499,Eea1,Up,2.72491762453491,0.000277366086339798,9.69238659260846
51,51,ENSMUSG00000104964,ENSMUSG00000104964,Up,7.63454733107329,0.05589541367524,9.56321588257361
52,52,ENSMUSG00000001507,Itga3,Up,7.82270686147711,0.0662596605832277,9.221021917411
53,53,ENSMUSG00000040841,Six5,Up,6.21939609619316,0.0341732474471071,9.11958600446322
54,54,ENSMUSG00000086064,ENSMUSG00000086064,Up,7.66442865803179,0.0698371705472705,8.85941551619839
55,55,ENSMUSG00000109812,ENSMUSG00000109812,Up,7.89012398501169,0.0773316754770925,8.77099778515264
56,56,ENSMUSG00000070461,ENSMUSG00000070461,Up,7.15371631491161,0.0605886265331271,8.71042859798345
57,57,ENSMUSG00000043733,Ptpn11,Up,2.31790582501829,0.000208085507529489,8.53396869908521
58,58,ENSMUSG00000097093,C330013E15Rik,Up,7.3635515497827,0.0716905260671301,8.42786627745569
59,59,ENSMUSG00000016498,Pdcd1lg2,Up,3.47143750450987,0.00419943969520478,8.25094269182928
60,60,ENSMUSG00000046169,Adamts6,Up,2.34929703296278,0.000395978393610085,7.9930802749263
61,61,ENSMUSG00000000244,Tspan32,Up,2.3846177037783,0.000459015712872902,7.96026511677449
62,62,ENSMUSG00000003948,Mmd,Up,3.71443316952767,0.00750103917418924,7.89271942835809
63,63,ENSMUSG00000054469,Lclat1,Up,2.68502802142855,0.00119073179886972,7.85152147941268
64,64,ENSMUSG00000106024,ENSMUSG00000106024,Up,4.66162645193673,0.0215286042456604,7.77085729524301
65,65,ENSMUSG00000076755,Trgv1,Up,5.04756374881883,0.0297170798997099,7.70759889304993
66,66,ENSMUSG00000104020,ENSMUSG00000104020,Up,4.43079623452994,0.0184707273309998,7.68085617767539
67,67,ENSMUSG00000019817,Plagl1,Up,7.0701365047301,0.0819867405919603,7.67998087693117
68,68,ENSMUSG00000110597,ENSMUSG00000110597,Up,6.50273457959715,0.0749697926511723,7.31631569994853
69,69,ENSMUSG00000034855,Cxcl10,Up,4.20399454907186,0.0188632061210607,7.24930299490463
70,70,ENSMUSG00000036306,Lzts1,Up,6.57552201326305,0.083660216277561,7.08500014628907
71,71,ENSMUSG00000026011,Ctla4,Up,2.29831600625262,0.000919908145228656,6.97827469679744
